STATE,ROBBRATE,LARCRATE,ASSRATE,BURGRATE,MURDRATE,FIPS,PERINC,SUICRATE,ASUICRAT,SUICRT65,POP_CEN,GSPROD,LAND,DENSITY,UNEMPRAT,POP_24,POP_65,PROPRATE,VIOLRATE,CRIMRATE,PERFEM,PERMALE,PERINCA,MIG_RATE
Oregon,137.92,4236.71,338.68,1102.83,4.10697230181471,41,21579,14.7,15.8,23.73,3141180,80805,96002,32.72,5.9,1082132,425524,6041.55,522.38,6563.93,.506075382956662,.493924617043338,14155.824,5953.17683163652
Pennsylvania,189.35,1963.15,206.49,561.75,6.25414181577203,42,23270,11.4,12.1,15.04,12039775,313293,44820,268.63,5.3,3972419,1907909,2937.57,427.32,3364.89,.518753246184676,.481246753815324,15265.12,-622.935229271311
Rhode Island,92.32,2503.03,245.35,932.73,3.33333333333333,44,23480,7.9,9,13.47,989295,25046,1045,946.69,5.1,326513,155863,3876.57,367.98,4244.55,.518890270353665,.481109729646335,15402.88,-4649.77585047938
South Carolina,175.91,3441.76,750.8,1254.64,7.94990471004628,45,18871,11.3,11.8,11.58,3699305,85270,30111,122.86,6,1327128,440061,5081.84,981.95,6063.79,.51700518134715,.48299481865285,12379.376,946.123663769276
South Dakota,25.93,2191.5,138.82,540.74,1.78326474622771,46,18782,11.8,11.7,15.19,734533,18662,75896,9.68,3.2,278194,105319,2853.09,207.54,3060.63,.506767649074709,.493232350925291,12320.992,1089.12737753103
Tennessee,223.21,2799.52,490.54,1143.19,10.5974124809741,47,21118,12.1,13,18.63,5235124,134873,41219,127.01,5.2,1827968,660163,4591.23,771.48,5362.71,.516740639824134,.483259360175866,13853.408,4259.68897775869
Texas,179.81,3377.85,429.29,1082.26,9.04187139500107,48,21279,11.6,11.9,20.56,18694223,514206,261914,71.38,5.6,7334206,1901476,5020.47,663.87,5684.34,.506084925680987,.493915074319013,13959.024,1717.10800711
Utah,67.09,4572.12,215.07,800.77,3.89543823680164,49,18182,15.2,14.6,12.69,1991495,45554,82168,24.24,3.5,925419,173351,5762.02,328.81,6090.83,.501874827976937,.498125172023063,11927.392,3565.16084649974
Vermont,10.94,2418.8,76.92,760.85,2.22222222222222,50,21237,11.8,13,28.33,582442,13867,9249,62.97,4.6,201343,70595,3315.38,118.29,3433.68,.507727745324706,.492272254675294,13931.472,515.072745440748
Virginia,131.73,2740,194.94,595.16,7.6004835297673,51,24000,11.4,12.5,22.16,6601639,186986,39598,166.72,4.4,2278815,735466,3627.74,361.45,3989.2,.509820060786965,.490179939213035,15744,924.01296102377
Washington,132.74,4140.32,287.28,1091.24,5.06352421285214,53,23664,13.4,14.4,23.59,5433068,150001,66581,81.6,6.5,1921844,631384,5785.55,484.26,6269.8,.502346853362508,.497653146637492,15523.584,5098.40848669665
West Virginia,42.72,1516.63,141.36,565.04,4.86870897155361,54,17446,13.6,15.1,22.75,1821613,36039,24087,75.63,7.5,616794,276850,2247.98,210.18,2458.15,.517564659423117,.482435340576883,11444.576,1097.92804508971
Wisconsin,105.09,2627.82,148.39,613.23,4.27483896154597,55,22084,11.6,12.2,18.06,5136937,132704,54314,94.58,3.5,1827797,681049,3604.63,281.07,3885.69,.508358681009742,.491641318990258,14487.104,1382.14659825495
Wyoming,17.92,3286.25,199.79,612.08,2.08333333333333,56,20695,16.7,17.1,26.4,478364,15761,97105,4.93,5,185540,53018,4066.04,254.17,4320.21,.496571311708042,.503428688291958,13575.92,1254.2749872482
