enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
2009/01/17,2018.99,200,20,3,1,2,2,1
2009/01/25,1279,100,2,3,1,20,1,1
2007/12/14,1178,75,4,4,1,58,1,1
2008/02/09,2275,350,6,1,0,41,2,1
2008/02/28,1079,50,6,1,0,21,1,1
2008/03/26,1079,75,20,1,0,35,2,1
2008/04/07,1279,5,6,5,0,20,2,1
2008/07/09,1278,44,6,3,0,41,2,1
2008/08/15,1478,44,7,3,0,30,1,1
2008/08/19,1229,20,7,3,0,23,2,1
2008/09/01,1229,19,14,3,0,36,1,1
2008/09/18,2558,2,8,3,1,35,1,1
2008/10/10,1279,30,8,3,1,34,1,1
2008/10/27,1079,25,8,3,1,33,1,1
2007/02/04,1762,10,6.5,1,1,21,2,1
2007/03/12,2018,50,6.5,1,0,55,1,1
2007/03/02,1130,50,8.5,1,4,59,1,1
2007/03/09,881,50,8.5,1,0,27,1,1
2007/07/06,731,25,4.5,1,0,22,2,1
2007/08/04,613,26,5,1,1,26,1,1
2007/06/02,1133,75,3.25,1,1,25,1,1
2007/06/14,859,150,3.25,1,0,40,2,1
2007/06/18,713,25,3.25,1,1,23,1,1
2007/07/03,859,30,4.5,1,0,24,1,1
2008/04/21,978,51,7,1,0,28,2,1
2007/10/22,1169,50,3.25,1,0,24,1,1
2007/11/10,969,250,4.5,1,0,48,1,1
2008/02/24,1203,75,20,1,0,39,1,1
2008/03/03,954,75,20,1,0,30,2,1
2008/05/10,514,40,7,1,0,35,2,1
2007/01/17,1219,150,3.25,1,0,35,1,1
2008/02/28,1139,100,14,4,0,25,1,1
2008/07/28,1153,100,20,3,0,32,1,1
2007/03/25,1009,40,8.5,1,0,28,1,1
2007/03/10,1219,50,8.5,1,6,31,1,1
2007/04/10,959,50,4.25,1,4,27,1,1
2007/08/21,1183,75,17,1,0,22,1,1
2008/01/30,613,25,6.5,1,3,23,2,1
2008/03/20,633,25,7,1,1,47,1,1
2008/05/14,633,25,7,1,3,36,1,1
2008/07/13,774,20,7,3,0,20,1,1
2009/01/22,1527,150,4.5,3,0,25,2,1
2007/07/29,1069,30,4.5,1,3,26,1,1
2007/09/05,713,26,6.5,1,0,23,1,1
2008/08/24,633,25,8,3,0,29,1,1
2008/09/01,1266,50,9,3,3,21,2,1
2009/01/20,633,25,9,3,0,24,2,1
2009/01/17,1029,75,4.5,3,0,21,2,1
2008/05/08,1308,150,7,1,0,19,1,1
2008/06/10,899,36,7,3,2,21,1,1
2007/01/28,1108,66,5.5,1,0,3,1,1
2007/04/28,1358,70,11,1,0,28,1,1
2007/04/29,699,25,5.5,1,0,29,1,1
2007/05/29,699,25,5.5,1,0,34,1,1
2007/05/31,879,100,5.5,1,0,28,1,1
2007/06/20,699,5,5.5,1,1,25,1,1
2007/05/28,599,5,5.5,1,0,31,2,1
2007/05/12,979,39,5.5,1,0,26,2,1
2007/01/10,859,33,8.5,1,0,49,2,1
2007/04/20,1191.99,50,5.5,1,0,3,2,1
2007/03/04,599,50,5.5,1,1,23,2,1
2007/05/21,599,25,5.5,1,1,22,1,1
2007/07/18,709,25,4,1,1,28,2,1
2007/07/28,709,25,4,1, ,35,1,1
2007/08/04,979,50,4,1,1,30,1,1
2007/08/12,449,50,4,1,1,26,2,1
2007/01/14,622.96,25,5.72,1,1,25,1,1
2007/08/10,1017.12,100,4.16,1,2,22,1,1
2007/01/06,1258,65,8,1,1,21,2,1
2007/04/01,879,25,8,1,0,23,1,1
2007/02/27,1428,75,2.75,1, ,28,1,1
2007/02/15,949,5,4,1,0,33,2,1
2007/05/14,539,25,5,1,0,28,2,1
2007/07/28,489,50,3,1,0,23,2,1
2007/03/19,879,35,8,1,2,20,1,1
2007/04/09,1179,50,4,1,1,28,1,1
2007/09/02,859,19,5.5,1,2,24,1,1
2008/01/31,879,35,22,1,0,31,2,1
2008/05/29,619,30,8.5,1,3,22,1,1
2007/03/06,979,25,5.5,1,0,30,2,1
2007/02/15,648.42,5,5.96,1,0,25,2,1
2007/03/05,2552.54,150,4.46,1,0,0,2,1
2007/03/12,1815.35,500,1.48,1,0,20,1,1
2007/01/25,979,37,17,1,0,23,2,1
2007/01/03,914.84,35,5.86,1,1,34,1,1
2007/01/28,1042.64,37,5.86,1,0,26,1,1
2007/05/05,1227.95,75,5.86,1,0,22,2,1
2007/05/23,591.08,15.98,0,1,0,24,2,1
2007/06/08,1149.14,200,5.86,1,0,24,2,1
2007/01/02,469,5,0,1,1,22,2,1
2007/04/30,580.57,75,2.91,1,1,24,2,1
2007/01/08,1179,46,10,1,0,0,2,1
2007/01/14,859,50,8.5,1,0,27,1,1
2007/03/17,859,50,7.25,1,0,27,1,1
2007/03/18,599,25,5.5,1,1,27,1,1
2007/02/06,840.29,150,11,1,0,34,2,1
2007/02/21,1635.84,125,11,1,0,0,2,1
2007/06/27,637.94,25,2.93,1,0,32,1,1
2007/07/07,718,44,2.75,1,0,40,1,1
2007/02/05,3537,100,5.5,1,0,23,2,1
2007/02/05,3537,100,5.5,1,0,21,2,1
2007/02/07,1179,150,2.75,1,0,30,1,1
2007/02/21,599,5,5.5,1,0,26,1,1
2007/02/19,599,5,5.5,1,0,36,1,1
2007/05/12,549,50,5.5,1,0,35,2,1
2007/05/23,929,50,5.5,1,0,29,2,1
2007/04/14,1179,50,2.75,1,1,22,2,1
2007/01/29,906.25,0,5.81,1,0,33,1,1
2007/06/02,1895.84,15,2.9,1,1,4,2,1
2007/09/19,633.44,25,4.23,1,0,25,1,1
2007/01/31,979,37,5.5,1,0,28,2,1
2007/02/04,1179,5,5.5,1,0,23,1,1
2007/04/28,2029.69,300,2.98,1,0,39,1,1
2007/01/07,1108,60,5.5,1,1,37,1,1
2007/01/15,893.36,35,5.72,1,0,44,2,1
2007/01/01,1307.82,150,5.86,1,1,49,1,1
2007/02/28,979,39,5.5,1, ,27,2,1
2007/05/30,929,50,5.5,1,0,30,1,1
2007/01/23,1281.86,10,5.89,1,0,4,1,1
2007/04/12,640.93,25,5.89,1,1,24,1,1
2007/01/05,925.58,33,5.93,1,0,40,2,1
2007/02/06,1591.47,55,5.93,1,0,44,2,1
2007/03/20,1270.38,51,5.93,1,0,0,1,1
2007/07/30,893.25,25,4.31,1,0,40,1,1
2007/03/09,599,25,8,1,0,27,1,1
2007/06/22,1758,10,8,1,0,4,1,1
2007/02/28,1397,100,2.75,1,0,53,2,1
2007/03/13,599,40,5.5,1,0,23,2,1
2007/02/12,1259,100,2.75,1,0,23,2,1
2007/03/14,1226.16,50,2.86,1,0,31,2,1
2007/05/27,859,40,5.5,1,0,29,1,1
2007/04/25,1328,175,10,1,0,24,1,1
2007/01/06,840.29,88,11,1,0,27,2,1
2007/01/26,840.29,44,11,1,0,22,1,1
2007/02/15,840.29,10,17,1,0,18,2,1
2007/02/19,733.79,50,11,1,0,34,2,1
2007/12/26,449,19,4,1,0,25,1,1
2007/04/26,599,26,5.5,1,0,21,1,1
2008/04/15,699,29,6,1,0,32,1,1
2007/02/07,1243.85,5,5.81,1,0,23,1,1
2007/04/06,1243.85,50,2.9,1,1,23,2,1
2007/05/11,526.45,25,5.81,1,1,25,2,1
2007/01/24,859,20,5.5,1,0,28,2,1
2007/01/13,1174.48,60,5.83,1,0,22,1,1
2007/05/27,814.95,25,5.83,1,0,32,2,1
2007/06/05,814.95,25,5.83,1,0,23,2,1
2007/03/03,1228,65,8.5,1,0,24,2,1
2007/02/26,599,25,8.5,1,0,25,1,1
2007/03/29,829.98,50,5.84,1,2,36,1,1
2007/01/02,1042.64,37,5.86,1,1,36,2,1
2007/01/12,1042.64,5,5.86,1,1,22,2,1
2007/03/25,914.84,50,5.86,1,1,28,1,1
2007/02/03,921.28,33,5.9,1,0,27,1,1
2007/02/20,1037.74,100,2.92,1,0,24,1,1
2007/03/29,829.98,50,5.83,1,1,30,1,1
2007/01/13,645.43,25,5.93,1,0,23,1,1
2007/01/16,979,5,0,1,0,22,2,1
2007/08/05,475.94,20,4.24,1,1,22,2,1
2007/09/06,1174.48,26,5.83,1,0,22,1,1
2007/03/11,938,60,4,1,3,46,2,1
2007/03/19,469,25,5,1,0,41,2,1
2007/07/10,1329.31,50,4.33,1,0,20,1,1
2007/07/29,1113.89,25,4.33,1,0,30,1,1
2007/11/13,983.99,70,4.33,1,0,26,1,1
2007/02/03,1105.47,30,11,1,0,28,1,1
2007/01/08,1794.39,75,5.89,1,1,22,1,1
2007/10/23,1079,100,10,1,0,25,2,1
2007/01/07,825.74,32,5.3,1,0,51,2,1
2007/02/06,859,5,5.5,1,0,22,1,1
2007/06/03,928,51,5.5,1,0,25,1,1
2007/09/10,1925,175,5.5,1,0,0,1,1
2007/01/18,1277.12,100,5.72,1,0,31,2,1
2007/02/24,1040.19,5,5.85,1, ,23,1,1
2007/02/04,645.43,26,5.92,1,0,26,2,1
2007/02/12,1313.96,150,2.95,1,0,26,2,1
2007/04/11,1047.53,40,5.89,1,1,27,2,1
2007/02/08,1220.27,55,2.85,1,0,24,2,1
2007/03/11,1270.98,50,5.69,1,0,31,1,1
2007/04/23,619.97,50,2.85,1,0,60,1,1
2007/01/14,545,19,0,1,0,24,1,1
2007/02/04,1428,75,5.5,1,0,38,2,1
2007/01/24,1059.77,55,5.96,1,0,25,1,1
2007/02/07,1868.4,80,5.96,1,0,39,2,1
2007/01/07,979,40,5.5,1,3,23,2,1
2007/01/25,1428,30,5.5,1,0,27,1,1
2007/01/30,859,5,5.5,1,1,24,1,1
2007/02/28,1048.78,25,12,1,0,3,2,1
2007/04/21,1179,25,11,1,0,38,1,1
2007/07/29,829,19,4,1,1,41,2,1
2007/02/08,859,75,2.75,1,0,23,1,1
2007/02/15,859,5,5.5,1,0,37,2,1
2007/03/18,899,100,4.12,1,0,34,1,1
2007/04/30,859,35,5.5,1,0,24,2,1
2007/05/26,999,40,5.5,1,0,22,2,1
2007/02/06,949,5,4,1,0,24,2,1
2007/02/12,949,5,4,1,0,28,2,1
2007/02/17,689,5,4,1,0,30,2,1
2007/01/12,463.37,231.69,10,1,0,23,2,1
2007/02/28,345.72,35,28,1,0,21,2,1
2007/03/07,517.03,43,21,1,0,23,1,1
2007/02/13,859,5,5.5,1,0,21,1,1
2007/02/11,633.44,25,5.82,1,0,24,2,1
2007/02/21,949,5,4,1,0,29,1,1
2007/03/08,1545.81,50,5.96,1,0,23,1,1
2007/03/25,1059.77,50,5.96,1,0,24,1,1
2007/01/18,1387.22,44,11,1,0,39,1,1
2007/03/29,1109.56,30,5.83,1,0,26,2,1
2007/04/02,814.95,25,5.83,1,0,27,1,1
2007/07/02,497.01,19,4.24,1,0,21,1,1
2007/01/22,789,37,4,1,0,28,1,1
2007/02/09,1179,51,10,1,0,32,2,1
2007/01/10,1059.77,100,5.96,1,0,26,1,1
2007/01/20,1178,250,2.75,1,0,0,2,1
2007/06/17,1545.81,30,5.96,1,0,26,1,1
2007/04/07,549,50,2.75,1,3,31,1,1
2007/04/12,949,50,2.75,1,0,27,2,1
2007/06/26,1148,100,5.5,1,0,0,2,1
2007/01/02,814.95,25,5.83,1,0,21,2,1
2007/02/03,1143.47,5,5.83,1,0,33,2,1
2007/01/17,1037.74,30,5.83,1,0,39,2,1
2007/01/22,910.54,50,5.83,1,0,29,1,1
2007/03/10,648.42,25,5.96,1,0,28,1,1
2007/06/23,648.42,25,5.96,1,0,19,2,1
2007/06/26,1545.81,30,5.96,1,0,27,1,1
2007/07/29,1085.75,75,17,1,0,22,1,1
2007/02/07,469,50,2.5,1,0,26,1,1
2007/01/06,1677,125,10,1,0,0,2,1
2007/01/06,979,40,8.5,1,0,22,2,1
2007/02/10,1198,52,8.5,1,0,28,1,1
2007/03/05,979,50,8.25,1,0,23,2,1
2008/07/07,844,19,4,1,1,19,2,1
2008/07/17,439,20,4,3,1,20,1,1
2008/08/30,844,20,5,3,0,31,2,1
2008/11/05,969,40,6,3,0,30,2,1
2007/01/11,859,35,5.5,1,1,19,1,1
2007/02/01,599,25,5.5,1,0,31,1,1
2007/04/22,594.29,51,2.98,1,0,38,2,1
2007/05/05,594.29,51,5.96,1,0,25,1,1
2007/02/25,1047.53,5,5.89,1,1,23,1,1
2007/04/28,994.03,50,2.95,1,1,54,2,1
2007/01/22,1179,5,5.5,1,0,23,1,1
2007/03/31,943,25,5.5,1,0,25,2,1
2007/04/06,929,50,2.75,1,1,24,2,1
2007/04/14,1353,75,2.75,1,0,29,2,1
2007/05/06,2781.03,75,5.94,1,0,30,1,1
2007/01/03,859,33,5.5,1,1,27,2,1
2007/02/03,599,175,5.5,1,0,24,2,1
2007/02/13,627.29,35,26,1,0,25,2,1
2007/02/18,1680.57,10,17,1,0,34,1,1
2007/03/06,787.04,100,14,1,0,42,2,1
2007/01/01,999,40,5.5,1,0,27,1,1
2007/04/07,699,25,8.5,1,0,22,1,1
2007/02/24,1255.64,5,5.86,1,0,24,2,1
2007/08/12,882.89,30,4.26,1,1,21,2,1
2007/04/29,1671.62,150,8.5,1,0,42,1,1
2007/01/09,789,37,4,1,1,21,2,1
2007/01/17,699,5,5.5,1,1,22,1,1
2007/03/13,1329.31,64,5.96,1,0,39,2,1
2007/01/02,949,0,4,1,0,24,1,1
2007/01/06,949,50,4,1,0,30,2,1
2007/01/15,949,5,4,1,0,22,1,1
2007/02/18,699,30,5.5,1,0,25,2,1
2007/01/07,979,0,5.5,1,0,27,1,1
2007/03/24,1038.97,25,5.84,1,0,27,1,1
2007/01/08,1179,49,5.5,1,1,23,2,1
2007/02/25,1497,100,2.75,1,0,37,2,1
2007/02/19,859,5,5.5,1,0,22,1,1
2007/03/07,999,5,5.5,1,0,25,1,1
2007/06/07,1018.16,5,5.72,1,1,21,2,1
2007/02/01,789,40,4,1,0,28,1,1
2007/03/14,599,50,5.5,1,1,29,2,1
2007/04/19,1058,125,2.75,1,0,31,1,1
2007/02/10,1059.77,60,2.98,1,0,21,1,1
2007/02/16,648.42,25,5.96,1,0,31,1,1
2007/01/29,599,5,5.5,1,0,28,2,1
2007/01/21,1018.16,150,5.72,1,0,24,1,1
2007/01/21,893.36,50,5.72,1,0,22,1,1
2007/02/08,1411.28,85,5.72,1,0,4,1,1
2007/02/03,1513.68,150,5.83,1,0,4,1,1
2007/04/09,1037.74,25,5.83,1,1,32,1,1
2007/05/13,1037.74,250,5.83,1,0,21,2,1
2007/07/01,1882.56,100,4.24,1,0,32,2,1
2007/01/17,1179,100,5.5,1,0,23,2,1
2007/02/03,1179,44,5.5,1,0,21,2,1
2007/01/04,1428,175,15,1,0,51,2,1
2007/05/29,1428,50,5.5,1,0,27,1,1
2007/01/02,1428,75,10,1,0,43,1,1
2007/01/03,1179,50,10,1,0,27,1,1
2007/01/08,2358,88,10,1,0,36,2,1
2007/03/16,599,50,6,1,0,21,2,1
2007/01/25,999,100,5.5,1,0,21,1,1
2007/01/16,599,25,8.5,1,0,48,2,1
2007/01/29,1651.1,35,5.83,1,0,33,1,1
2007/02/17,1229,46,8,1,0,26,2,1
2007/02/19,2458,10,8,1,0,30,2,1
2007/04/03,1009,50,4,1,1,30,2,1
2007/04/10,1478,94,4,1,0,36,1,1
2007/03/24,899,150,2,1,0,30,1,1
2007/04/04,949,50,2,1,0,41,2,1
2007/06/12,689,35,4,1,0,27,2,1
2007/08/25,799,20,3,1,0,20,2,1
2007/12/09,349,20,3,1,0,22,2,1
2008/06/25,1024,5,4,1,0,22,2,1
2007/01/16,1018.16,150,5.72,1,0,26,1,1
2007/01/27,1838.19,100,5.86,1,0,17,2,1
2007/04/01,979,150,5.5,1,0,28,2,1
2007/02/17,2358,10,5.5,1,0,31,1,1
2007/03/25,1527.96,75,5.89,1,1,3,1,1
2007/01/20,925.58,50,5.93,1,0,28,2,1
2007/01/29,914.84,100,5.86,1,6,20,1,1
2007/07/08,349,19,3,1,1,29,1,1
2007/07/24,349,20,3,1,0,21,1,1
2007/03/24,1777.62,150,4.37,1,1,24,1,1
2007/02/12,599,5,5.5,1,0,33,2,1
2007/04/28,949,50,2.75,1,0,29,1,1
2007/02/22,599,26,5.5,1,0,25,1,1
2007/03/25,1179,50,5.5,1,1,29,1,1
2007/01/04,648.42,25,5.96,1,0,43,1,1
2007/02/13,1329.31,65,5.96,1,0,22,2,1
2007/03/04,648.42,25,5.96,1,0,0,2,1
2007/03/10,1199.41,60,5.96,1,0,29,1,1
2007/03/17,1199.41,75,5.96,1,0,24,2,1
2007/03/28,1117.14,100,4.46,1,0,53,2,1
2007/04/23,1059.77,25,5.96,1,0,26,1,1
2007/06/10,1059.77,50,5.96,1,0,26,1,1
2007/06/18,1296.84,30,5.96,1,0,28,1,1
2007/07/06,823.79,50,4.23,1,0,29,1,1
2007/07/16,474.82,20,4.23,1,2,26,1,1
2007/08/21,474.82,20,4.23,1,1,20,2,1
2007/03/26,1317.03,65,5.9,1,0,26,1,1
2007/05/14,2208,150,5.5,1,0,21,1,1
2007/01/13,999,39,5.5,1,0,19,2,1
2007/02/06,2095.06,20,5.89,1,0,28,1,1
2007/05/21,640.93,25,5.89,1,0,25,2,1
2007/07/17,1101.03,19,4.28,1, ,23,2,1
2007/07/31,1073.21,75,17,1,0,26,2,1
2007/08/22,887.03,20,4.28,1, ,46,1,1
2007/03/02,1033.03,100,21,1,0,36,2,1
2007/04/17,723.43,100,19,1,0,29,1,1
2007/01/12,1276.27,44,5.96,1,0,21,1,1
2007/02/05,929.87,35,5.96,1,0,36,1,1
2007/02/21,1059.77,40,5.96,1,0,27,2,1
2007/01/07,640.93,25,5.89,1,1,28,1,1
2007/01/28,919.13,60,5.89,1,0,21,1,1
2007/05/16,1185.56,50,5.89,1,0,28,2,1
2007/07/09,1313.96,30,17,1,0,21,1,1
2007/08/24,480.43,19,4.28,1,0,33,1,1
2007/09/02,1313.96,50,4.28,1,1,25,1,1
2007/10/20,865.63,50,5.89,1,1,22,1,1
2007/08/23,970.07,50,15,1,0,3,1,1
2007/12/01,873.73,150,18,1,0,39,2,1
2007/12/15,1484.4,120,15,1,0,28,1,1
2008/02/12,1098.89,150,14.5,1,0,29,2,1
2008/05/02,1141.1,65,15.25,1,0,2,2,1
2008/06/06,641.46,25,29,3,0,29,2,1
2007/01/01,908.39,50,5.82,1,0,53,2,1
2007/02/19,633.44,25,5.82,1,0,20,2,1
2007/04/08,1246.79,25,5.82,1,1,30,2,1
2007/07/02,876.67,25,4.23,1,3,26,1,1
2007/01/13,1573.01,100,5.86,1,0,28,1,1
2007/11/24,529.34,20,4.33,1,0,19,2,1
2007/12/06,1248.12,75,4.33,1,0,21,2,1
2008/05/12,1486.27,75,6.5,1,0,22,1,1
2008/05/18,1280.6,65,6.5,1,0,28,2,1
2008/08/08,1162.61,19,6.95,3,0,26,1,1
2008/08/14,1215.65,75,6.95,3,0,33,1,1
2008/08/20,1162.61,25,6.95,1,0,21,1,1
2008/08/26,1162.61,19,6.95,1,0,19,2,1
2008/08/28,1162.61,25,6.95,3,0,56,2,1
2008/09/06,1567.46,26,7.95,3,0,27,2,1
2008/09/30,702.54,25,7.95,3,0,21,1,1
2008/11/12,1513.34,50,8,3,0,24,2,1
2007/01/06,979,0,18,1,0,24,1,1
2007/09/15,599,25,6,1,0,25,1,1
2007/06/22,1048,150,5.5,1,0,0,1,1
2007/07/19,1107,150,4,1,0,44,2,1
2007/07/31,449,38,4,1,0,36,1,1
2007/12/03,1048,175,4,4,0,29,2,1
2008/01/05,949,50,5.5,1,0,25,1,1
2007/02/10,1357,55,5.5,1,0,21,1,1
2007/02/17,2937,15,5.5,1,0,47,2,1
2007/04/15,1545.81,75,2.98,1,0,34,1,1
2007/05/10,1545.81,71,5.96,1,0,0,2,1
2007/05/19,1329.31,75,5.96,1,0,37,1,1
2007/03/17,859,5,5.5,1,0,22,2,1
2007/03/18,773,5,5.5,1,0,23,1,1
2007/01/10,1226.16,50,5.72,1,3,26,2,1
2007/01/14,1018.16,50,5.72,1,0,31,1,1
2007/03/04,1037.74,50,5.83,1,1,27,1,1
2007/02/05,648.42,11,5.96,1,0,38,1,1
2007/04/28,1276.27,50,11,1,0,25,2,1
2007/07/17,475.94,19,4.24,1,1,27,2,1
2007/07/22,1301.68,50,4.24,5,0,24,2,1
2007/02/16,733.79,50,11,1,0,21,1,1
2007/08/13,584.69,20,26,1,0,26,2,1
2007/06/12,859,35,5.5,1,0,28,1,1
2007/02/19,1042.64,50,2.93,1,0,32,1,1
2007/03/25,2103.38,200,4.39,1,2,3,2,1
2007/03/28,833.9,75,4.39,1,1,41,1,1
2007/02/24,1428,30,5.5,1, ,3,2,1
2007/07/31,449,19,4,1,1,24,1,1
2007/01/22,599,25,5.5,1,0,23,2,1
2007/02/12,1179,50,2.75,1,0,24,2,1
2007/03/21,1179,50,5.5,1,1,33,1,1
2007/03/26,599,25,5.5,1,0,35,1,1
2007/01/13,1179,44,5.5,1,0,30,2,1
2007/02/12,699,30,5.5,1,0,24,2,1
2007/02/28,859,35,5.5,1, ,24,2,1
2007/02/13,979,50,8.5,1,0,20,2,1
