enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
2007/03/10,1180.02,50,5.5,3,1,41,1,0
2007/03/23,1519.76,300,1.46,4,4,52,1,0
2007/03/27,1042.64,39,6,4,0,25,1,0
2007/03/27,637.94,25,5.5,4,1,58,2,0
2007/04/04,520.79,520.79,8,1,4,44,1,0
2007/08/08,820.54,100,4,1,0,15,1,0
2007/08/14,928.79,100,4,4,0,0,2,0
2007/08/23,486.04,19,4,5,0,32,2,0
2007/08/23,486.04,25,4,4,4,28,1,0
2007/09/18,648.42,648.42,4,1,0,67,2,0
2007/09/23,648.42,26,4,1,6,38,1,0
2007/09/29,648.42,1,4,4,1,0,1,0
2007/11/02,1437.56,1437.56,6,1,1,65,1,0
2007/11/06,486.04,19,4,4,0,44,2,0
2007/11/06,1275.19,275,4,1,0,36,1,0
2007/11/08,1221.05,125,4,4,4,0,2,0
2007/11/21,1004.55,125,4,4,8,0,2,0
2007/11/27,951.52,951.52,6,1,4,50,1,0
2007/12/09,1231.89,150,4,5,4,25,2,0
2008/01/08,648.42,0,5.5,5,0,40,2,0
2008/01/11,648.42,5,5.5,3,5,19,1,0
2008/01/17,875.74,50,17,4,0,22,2,0
2008/02/07,702.54,5,6.5,5,3,0,1,0
2008/02/10,453.57,453.57,0,1,1,38,1,0
2008/02/17,1081.42,5,6.5,4,0,22,1,0
2008/02/23,702.54,5,6.5,4,4,16,1,0
2008/02/28,1728.75,125,9,4,0,50,2,0
2008/03/03,594.29,297.15,6.5,4,0,0,1,0
2008/03/14,1243.79,50,6.5,4,3,23,2,0
2008/04/09,1297.92,20,6.5,3,0,22,2,0
2008/04/11,1081.42,5,6.5,4,0,40,2,0
2008/04/20,1242.71,100,6.5,4,1,49,2,0
2008/04/23,1728.75,600,6.5,4,3,35,2,0
2008/05/11,702.54,25,6.5,4,1,28,1,0
2008/05/22,1000.23,75,25,3,6,0,2,0
2008/05/30,1459.21,100,9,5,5,47,1,0
2008/06/04,1513.34,50,5.5,5,0,0,1,0
2008/06/13,1027.29,50,5.5,4,1,18,1,0
2008/06/22,1307.65,1307.65,5.5,1,0,0,2,0
2008/07/31,1432.15,1432.15,8.26,1,6,42,1,0
2008/07/31,1134.45,1134.45,12.85,1,1,37,1,0
2008/08/07,1432.15,50,6.95,3,0,34,1,0
2008/08/25,1432.15,50,6.95,4,8,32,1,0
2008/08/28,946.11,25,6.95,5,0,20,2,0
2008/09/10,1998.3,150,7.95,3,0,35,1,0
2008/09/21,973.17,150,7.95,3,1,73,1,0
2008/10/02,1361.79,350,3.97,3,4,23,2,0
2008/10/05,1297.92,25,7.95,3,6,33,2,0
2008/10/11,1459.21,100,7.95,4,8,21,1,0
2008/11/09,1081.42,25,8,5,1,24,1,0
2007/01/11,1228,614,8.5,1,6,41,2,0
2007/01/13,859,150,8.5,4,3,26,1,0
2007/01/27,1228,250,8.5,5,0,20,1,0
2007/02/13,1228,1228,8.5,1,0,29,2,0
2007/02/23,1179,150,10,4,0,25,1,0
2007/03/04,1079,540,10,5,2,25,2,0
2007/03/25,858,429,10,1,0,28,2,0
2007/03/28,99,99,11,1,8,30,1,0
2007/05/02,489,489,8,1,0,52,1,0
2007/06/05,1328,175,10,5,0,36,1,0
2007/06/23,1179,5,10,4,0,30,2,0
2007/06/30,1647,200,8.5,1,0,0,2,0
2007/07/05,449,19,13,1,0,22,1,0
2007/07/09,978,978,6,1,0,0,1,0
2007/07/11,1178,175,9,3,1,32,2,0
2007/07/14,489,489,8,1,7,19,1,0
2007/07/24,1178,250,9,5,1,34,1,0
2007/08/09,978,978,7,1,1,34,1,0
2007/08/13,1178,275,9,5,0,47,2,0
2007/08/14,729,729,7,1,8,22,1,0
2007/10/04,1191.99,1191.99,10,1,0,31,2,0
2007/10/08,1328,275,10,5,1,38,1,0
2007/10/26,929,50,8.5,4,3,29,2,0
2007/12/01,1129,50,10,1,6,42,1,0
2007/12/16,804,75,8.5,5,3,46,2,0
2007/12/28,779,779,8.5,5,1,34,1,0
2008/01/13,1726,175,10,5,0,0,1,0
2008/01/16,1099,100,10,5,1,22,1,0
2008/01/28,149,149,13.75,5,1,23,1,0
2007/01/31,773,773,10,1,6,38,1,0
2007/02/03,149,149,11,1,6,27,2,0
2007/02/04,149,149,9,1,0,45,2,0
2007/03/01,149,149,10,1,0,25,1,0
2007/03/02,759,100,17,4,0,30,2,0
2007/03/16,1257,100,5.5,4,0,0,2,0
2007/03/20,999,50,5.5,1,3,23,2,0
2007/04/10,809,100,2.75,1,0,25,1,0
2007/05/01,809,809,8.5,1,0,30,2,0
2007/05/05,658.99,5,5.5,4,5,45,2,0
2007/05/05,1470,275,8.5,4,0,48,2,0
2007/05/06,799,799,6,1,1,30,2,0
2007/05/08,149,149,9,1,6,27,1,0
2007/05/12,299,50,5.5,4,0,31,2,0
2007/05/19,809,809,8.5,1,6,36,1,0
2007/05/21,799,799,6,1,0,45,2,0
2007/05/23,899,899,6,1,0,20,2,0
2007/05/30,899,150,6,4,1,33,1,0
2007/06/04,1048,175,5.5,1,1,22,2,0
2007/07/10,538.99,5,4,1,0,35,1,0
2007/07/31,799,50,12,4,1,27,2,0
2007/08/08,858,100,4,5,3,48,2,0
2007/08/11,749,5,4,1,6,32,2,0
2007/08/27,709,5,4,4,1,42,1,0
2007/08/30,899,5,2.75,4,0,41,2,0
2007/09/18,798.99,5,8.5,1,1,20,2,0
2007/11/10,899,250,4,3,0,50,1,0
2007/12/01,499,5,4,5,0,35,2,0
2007/12/08,499,120,4,4,0,19,2,0
2008/01/06,1048,1048,6,1,0,0,2,0
2008/01/08,924,75,5.5,3,1,27,2,0
2008/01/16,799,150,5.5,5,1,36,2,0
2008/01/19,249,249,6,1,7,0,1,0
2007/01/16,599,50,5.5,1,0,22,2,0
2007/02/02,545,19,0,1,0,28,2,0
2007/02/04,599,0,5.5,4,0,48,1,0
2007/02/04,599,50,2.75,1,0,33,2,0
2007/02/14,859,50,20,1,0,25,1,0
2007/02/24,599,50,24,1,4,43,1,0
2007/02/27,599,5,5.5,3,7,41,1,0
2007/02/28,599,50,2.75,5,0,22,1,0
2007/03/09,1357,300,1.37,4,1,22,2,0
2007/03/31,599,25,5.5,1,0,47,1,0
2007/04/01,599,200,2.75,4,0,26,1,0
2007/04/17,469,19,2.75,4,0,38,2,0
2007/01/15,1228,728,6,5,0,30,2,0
2007/01/30,1179,150,5.5,3,0,34,1,0
2007/02/14,1228,50,5.5,5,1,32,2,0
2007/02/16,489,244.5,10,1,0,4,1,0
2007/02/27,1228,250,2.75,4,0,29,2,0
2007/02/27,299,299,10,1,0,62,2,0
2007/03/05,599,599,15,1,0,51,2,0
2007/03/17,149,149,11,1,0,45,2,0
2007/01/02,478.19,30,24,3,0,25,2,0
2007/01/27,520.79,520.79,12,1,1,35,1,0
2007/01/29,605.99,32.5,25.3,4,3,35,1,0
2007/02/20,733.79,733.79,6,1,0,35,2,0
2007/03/13,158.69,158.69,9,1,0,42,2,0
2007/04/11,680.54,100,6,4,0,28,2,0
2007/05/13,355.71,25,6,4,5,46,1,0
2007/05/25,627.29,627.29,7,1,6,38,1,0
2007/05/31,998.97,125,6,4,5,0,2,0
2007/06/16,584.69,34,24,3,1,28,2,0
2007/06/24,733.79,150,6,4,4,22,1,0
2007/01/21,648.42,5,2.75,4,0,37,2,0
2007/01/21,475.22,475.22,10,1,4,48,2,0
2007/02/23,0,0,10,1,0,0,1,0
2007/03/23,161.29,161.29,9,1,6,38,1,0
2007/03/28,107.17,107.17,9,1,2,37,1,0
2007/03/30,107.17,107.17,9,1,7,32,1,0
2007/04/22,215.42,215.42,8,1,0,0,2,0
2007/05/20,1437.56,155,5.5,4,4,44,1,0
2007/05/28,1437.56,150,5.5,4,4,32,2,0
2007/01/17,999,150,5.5,1,1,21,2,0
2007/01/20,429,429,19.96,1,0,44,2,0
2007/01/21,859,33,15,1,2,33,1,0
2007/01/31,1248,275,5.5,4,0,25,2,0
2007/02/08,429,429,15,1,0,25,1,0
2007/03/05,799,100,4.12,5,3,29,2,0
2007/03/13,859,50,17,4,1,37,2,0
2007/03/30,644,322,8.5,4,0,37,2,0
2007/03/31,539,539,26,1,0,25,2,0
2007/04/03,429,429,10,5,1,24,1,0
2007/04/20,429,429,10,1,0,45,1,0
2007/04/19,1297,150,2.75,1,4,52,2,0
2007/04/25,469,469,2.75,5,0,37,2,0
2007/05/21,899,5,5.5,3,0,25,2,0
2007/06/09,1248,500,5.5,5,3,29,1,0
2007/01/06,1485.12,300,5.5,4,5,46,2,0
2007/01/11,893.36,150,5.5,5,0,47,2,0
2007/01/21,1226.16,1226.16,6,1,7,30,2,0
2007/01/07,634.94,5,5.5,1,3,28,2,0
2007/01/09,634.94,30,5.5,1,3,22,1,0
2007/01/13,518.34,518.34,9,1,6,33,1,0
2007/01/16,634.94,634.94,13,1,1,35,1,0
2007/01/27,910.54,0,20,1,6,52,1,0
2007/02/08,2093.5,2093.5,6,1,0,28,1,0
2007/02/11,2041.56,150,2.75,5,0,4,2,0
2007/02/13,1037.74,1037.74,6,1,0,41,1,0
2007/02/16,1301.68,56,5.5,4,7,39,1,0
2007/03/18,1248.68,100,4.37,4,6,27,1,0
2007/03/21,634.94,634.94,15,1,0,63,2,0
2007/03/26,634.94,100,4.37,1,6,25,2,0
2007/03/26,1301.68,50,5.5,3,0,24,1,0
2007/02/22,215.42,215.42,8,1,0,28,2,0
2007/02/22,215.42,215.42,8,1,0,56,1,0
2007/03/02,215.42,215.42,9,1,1,0,2,0
2007/05/19,1117.13,50,5.5,4,1,35,2,0
2007/05/22,215.42,215.42,8,1,0,35,2,0
2007/01/02,929,929,4,1,6,26,2,0
2007/01/05,1228,30,2.75,1,0,21,1,0
2007/01/06,929,464.5,3,5,0,29,1,0
2007/01/07,859,859,4.5,1,3,41,2,0
2007/01/07,1179,350,2.75,5,0,28,2,0
2007/01/09,859,0,2.75,5,6,27,1,0
2007/01/11,599,599,13,1,4,59,2,0
2007/01/13,929,929,3,1,3,29,2,0
2007/01/21,979,150,2.75,4,0,26,1,0
2007/01/23,979,150,2.75,4,0,26,2,0
2007/01/26,1178,1178,3,1,1,53,2,0
2007/02/03,979,5,2.75,5,6,26,2,0
2007/02/06,979,150,5.5,5,8,35,1,0
2007/02/10,599,25,5.5,3,6,30,1,0
2007/02/12,599,599,15,1,0,30,1,0
2007/01/12,859,150,5.5,5,0,26,1,0
2007/01/13,1477,50,5.5,5,0,37,2,0
2007/01/21,699,5,5.5,4,3,28,2,0
2007/01/23,1108,25,5.5,5,0,26,2,0
2007/02/01,1108,58,5.5,1,0,16,1,0
2007/02/02,1428,175,5.5,4,1,29,2,0
2007/02/09,859,50,5.5,1,7,0,1,0
2007/03/22,699,25,5.5,1,0,35,1,0
2007/04/17,149,149,11,1,0,33,2,0
2007/04/23,979,300,2.75,4,0,35,2,0
2007/04/23,149,149,10,1,1,27,2,0
2007/05/09,489,489,6,5,0,33,1,0
2007/04/22,1459.62,300,2.75,4,0,40,1,0
2007/05/20,581.94,50,5.5,3,0,23,2,0
2007/06/11,634.94,5,2.75,4,6,31,1,0
2007/06/16,581.94,581.94,15,1,0,23,1,0
2007/06/30,931.74,931.74,6,1,5,25,1,0
2007/08/13,984.74,200,4.25,3,1,25,1,0
2007/10/07,634.94,1,4.25,4,0,21,2,0
2007/10/01,931.74,250,5.5,1,0,24,1,0
2007/10/08,1513.68,30,5.5,4,0,22,1,0
2007/11/10,857.54,50,17,5,0,22,1,0
2007/11/13,518.34,518.34,8,1,7,56,1,0
2007/12/11,825.74,100,4,4,0,24,1,0
2007/12/11,157.94,157.94,17,1,1,32,1,0
2007/12/17,825.74,100,4.25,1,0,21,1,0
2007/01/17,998.97,30,11,1,0,28,1,0
2007/01/21,478.19,25,24,4,0,21,2,0
2007/01/23,520.79,50,21,4,7,30,1,0
2007/02/10,1105.47,75,6,4,1,27,1,0
2007/02/18,313.11,313.11,10,1,0,24,2,0
2007/02/21,840.29,150,6,4,3,25,2,0
2007/03/13,584.69,30,29,1,0,23,2,0
2007/06/16,265.19,265.19,8,1,0,66,2,0
2007/07/03,712.49,39,8.5,1,6,21,1,0
2007/07/08,403.64,403.64,10,1,6,65,2,0
2007/01/12,1357,50,15,1,0,19,2,0
2007/01/22,859,40,5.5,1,0,26,2,0
2007/02/15,979,5,5.5,5,1,34,2,0
2007/02/25,979,979,6,1,0,38,2,0
2007/03/01,979,250,1.37,4,0,40,2,0
2007/03/11,1228,50,5.5,5,0,29,1,0
2007/03/30,699,25,5.5,5,1,37,2,0
2007/03/30,199,199,8,1,0,46,2,0
2007/04/01,1758,300,2.75,5,2,25,2,0
2007/04/07,958,958,9.5,1,1,69,1,0
2007/04/21,1758,200,2.75,1,0,34,1,0
2007/05/28,1191.99,175,5.5,5,3,0,1,0
2007/06/17,1031.99,1031.99,6,1,1,37,2,0
2007/06/21,649,100,5.5,3,3,22,1,0
2007/06/28,859,25,5.5,5,0,22,2,0
2007/06/29,1008,252,8.5,5,0,0,2,0
2007/07/02,809,25,5,4,0,53,2,0
2007/07/06,958,958,5.5,1,1,30,1,0
2007/07/11,1776,1776,6,1,2,49,1,0
2007/01/23,979,5,5.5,4,3,45,1,0
2007/01/27,1108,60,20,1,3,21,2,0
2007/01/31,799.78,25,12,1,0,35,1,0
2007/02/01,979,37,5.5,1,2,28,2,0
2007/03/10,1129,100,4.12,5,7,27,1,0
2007/04/07,1079,1079,6,1,7,36,1,0
2007/04/18,1129,100,6,4,6,28,2,0
2007/04/20,1129,100,6,4,1,21,1,0
2007/04/24,879,100,2.75,5,8,32,1,0
2007/05/16,979,5,5.5,4,0,22,1,0
2007/01/24,1307.82,100,5.86,1,1,29,1,0
2007/02/26,1042.64,50,2.75,4,1,29,2,0
2007/03/05,1042.64,100,4.39,3,1,42,1,0
2007/03/17,158.69,158.69,9,1,5,64,1,0
2007/03/19,1180.02,150,4.39,1,1,32,1,0
2007/04/02,1042.64,100,6,5,6,30,1,0
2007/04/08,1201.32,1201.32,6,1,0,3,2,0
2007/04/15,1307.82,100,2.75,1,4,25,2,0
2007/06/06,1328,125,5.5,1,1,56,2,0
2007/08/02,609,100,4,5,0,25,1,0
2007/08/21,929,100,11,3,0,28,1,0
2007/08/30,1178,100,3,5,1,29,1,0
2007/09/11,978,100,6,4,0,20,2,0
2007/09/15,1128,1128,6,1,5,68,2,0
2007/09/30,1079,150,5.5,4,5,21,1,0
2007/10/01,1079,1079,3,1,1,25,2,0
2007/01/26,489,489,8,1,3,47,2,0
2007/03/10,429,429,10,1,1,76,2,0
2007/05/21,859,35,5.5,1,8,38,2,0
2007/06/02,549,100,5.5,4,3,38,2,0
2007/06/16,249,249,9,1,3,30,1,0
2007/06/16,429,429,8.5,1,0,28,2,0
2007/06/17,429,100,5.5,4,1,38,2,0
2007/08/07,729,150,4,3,0,37,2,0
2007/08/11,449,50,4,4,0,38,1,0
2007/08/19,609,609,11,1,0,35,2,0
2007/01/28,979,0,5.5,1,0,32,1,0
2007/01/28,1179,50,5.5,3,0,24,2,0
2007/01/30,1926,95,5.5,1,1,3,2,0
2007/02/16,1179,50,2.75,5,6,28,1,0
2007/03/06,1178,1178,6,1,0,21,2,0
2007/03/28,1032,150,4.12,4,1,53,2,0
2007/04/02,1328,125,2.75,5,5,26,2,0
2007/01/07,545,19,0,3,0,27,2,0
2007/01/23,859,5,5.5,4,0,38,1,0
2007/01/29,773,773,10,1,0,41,1,0
2007/02/07,599,26,5.5,1,0,47,2,0
2007/02/20,773,0,5.5,5,7,53,1,0
2007/02/27,1497,200,2.75,5,0,52,1,0
2007/03/07,673,150,2.75,4,1,25,2,0
2007/03/13,429,429,16.5,1,4,25,2,0
2007/03/18,1248,300,1.37,4,0,34,1,0
2007/03/26,599,5,5.5,5,0,28,1,0
2007/04/14,469,19,2.75,4,1,0,2,0
2007/01/06,859,150,5.5,4,1,26,2,0
2007/02/27,1179,150,2.75,1,0,29,2,0
2007/02/22,859,5,17,4,1,28,1,0
2007/02/27,979,50,2.75,4,1,43,1,0
2007/02/28,1228,30,5.5,3,0,34,2,0
2007/03/07,809,100,4.12,1,1,47,1,0
2007/03/08,859,50,5.5,1,1,22,1,0
2007/03/27,1058,150,4.12,4,1,61,2,0
2007/04/01,879,100,6,1,6,54,1,0
2007/04/26,1577,125,6,4,0,20,2,0
2007/05/19,499,25,5.5,4,5,22,2,0
2007/06/18,499,5,5.5,4,7,19,2,0
2007/06/19,449,100,5.5,1,0,33,2,0
2007/11/29,1328,150,11,1,6,63,1,0
2007/12/26,1328,100,4,5,1,25,1,0
2008/01/19,1108,30,5.5,4,0,50,1,0
2008/02/21,1099,100,6,1,6,35,2,0
2008/03/28,1124,75,9,4,0,27,2,0
2007/03/10,859,25,7.25,4,1,29,2,0
2007/03/17,1058,1058,11,1,0,38,2,0
2007/03/24,979,75,8.25,3,1,26,1,0
2007/04/02,879,100,8.25,4,3,49,1,0
2007/04/04,1079,100,10,3,1,32,1,0
2007/04/07,1079,150,10,5,1,22,1,0
2007/05/22,1626,150,8.5,1,1,24,2,0
2007/06/06,1128,100,8.5,1,0,24,1,0
2007/06/10,599,150,8.5,1,0,38,1,0
2007/06/15,782.99,391.5,8,4,0,34,2,0
2007/07/13,609,150,6,5,3,26,1,0
2007/07/21,249,249,12,1,6,0,2,0
2007/01/04,508.56,508.56,9,1,0,56,2,0
2007/01/08,1744.08,300,5.5,5,0,34,2,0
2007/01/10,154.96,154.96,5,1,0,33,2,0
2007/01/15,1018.16,50,5.5,1,5,33,1,0
2007/01/15,1018.16,150,11,1,7,40,1,0
2007/01/23,1073.27,536.64,6,4,1,3,1,0
2007/01/23,1485.12,150,5.5,3,0,27,2,0
2007/01/30,1744.08,1744.08,6,1,3,26,1,0
2007/01/31,1744.08,175,5.5,4,0,47,2,0
2007/02/07,1018.16,150,2.75,3,0,26,2,0
2007/02/11,1277.12,300,1.42,4,0,39,1,0
2007/02/15,1226.16,150,2.75,1,1,40,2,0
2007/02/17,1226.16,100,5.5,1,0,37,1,0
2007/02/18,1485.12,175,5.5,1,0,44,2,0
2007/02/19,1226.16,5,5.5,1,0,24,2,0
2007/02/22,893.36,446.98,11,5,0,46,2,0
2007/02/25,1018.16,50,17,1,1,33,1,0
2007/02/26,1226.16,250,1.42,1,3,67,2,0
2007/03/21,1062.87,51,5.5,1,0,24,2,0
2007/03/27,989.39,150,2.75,4,0,34,1,0
2007/05/08,936.14,100,5.5,4,1,18,1,0
2007/05/10,520.79,150,5.5,4,3,18,2,0
2007/05/30,520.79,260.79,8,5,0,18,1,0
2007/06/11,265.19,265.19,10.5,1,3,3,2,0
2007/01/02,1428,150,15,5,4,26,2,0
2007/01/07,1179,150,10,1,6,22,1,0
2007/01/16,979,37,8.5,4,0,28,2,0
2007/01/23,1198,100,8.5,1,3,22,1,0
2007/01/29,599,26,8.5,1,1,25,2,0
2007/01/31,1179,150,10,5,1,25,1,0
2007/02/01,699,0,5.5,5,0,64,2,0
2007/02/26,1048.78,1048.78,6,1,0,28,2,0
2007/03/23,1129,1129,6,1,0,32,1,0
2007/03/31,1192,100,4.12,1,0,21,2,0
2007/06/06,649,50,5.5,5,3,24,2,0
2007/06/06,1577,200,5.5,1,0,46,2,0
2007/06/15,1328,275,5.5,4,0,50,2,0
2007/06/24,1079,150,5.5,3,3,29,1,0
2007/07/31,1427,100,11,3,0,65,1,0
2007/08/05,449,20,4,1,4,24,1,0
2007/08/22,779,50,17,1,3,25,2,0
2007/03/14,1018.16,50,5.5,1,1,27,2,0
2007/03/19,1239.67,200,11,1,0,3,2,0
2007/04/03,154.96,154.96,10,4,0,31,2,0
2007/04/23,622.96,25,5.5,1,1,26,1,0
2007/07/15,1225.12,470,11,1,0,4,2,0
2007/09/17,1173.12,150,9,4,0,18,2,0
2007/09/25,508.56,254.28,8,1,0,60,2,0
2008/02/25,1063.91,175,9,4,0,31,2,0
2007/01/21,979,400,5.5,1,0,24,1,0
2007/02/18,1428,1428,4,1,0,66,1,0
2007/02/18,599,50,2.75,5,0,27,2,0
2007/03/11,1129,150,6,4,0,29,2,0
2007/04/12,1826,150,2.75,1,1,40,1,0
2007/06/04,1228,100,21,1,0,24,2,0
2007/06/04,1079,100,10,4,6,26,2,0
2007/06/17,489,489,8,1,7,29,1,0
2007/06/19,859,35,24,1,0,23,2,0
2007/06/28,1108,30,8.5,4,1,33,2,0
2007/07/29,1027,51,7,1,2,28,1,0
2007/09/26,599,25,26,1,0,35,2,0
2007/11/05,998,50,8.5,1,1,34,1,0
2007/11/24,449,20,4,1,0,34,1,0
2007/12/26,804,75,8.5,1,0,21,2,0
2007/12/30,449,19,4,3,0,25,2,0
2008/01/02,979,39,8.5,1,6,35,1,0
2008/01/15,1597,200,10,4,0,49,2,0
2008/01/20,599,0,8.5,5,6,60,1,0
2008/02/04,879,100,8.5,4,1,46,2,0
2008/04/06,1627,125,5.1,4,0,23,1,0
2008/04/10,924,75,8.5,4,2,23,1,0
2008/06/03,1229,48,10.25,3,0,27,1,0
2008/07/13,1104,19,6,1,0,29,2,0
2008/07/23,1353,175,10.5,4,1,17,2,0
2008/08/30,249,25,7,4,1,45,1,0
2008/10/06,999,25,8,1,0,22,2,0
2008/10/29,879,5,8,3,3,19,1,0
2008/11/30,824,75,28,3,3,21,2,0
2008/12/02,1004,150,8,5,3,25,1,0
2007/01/22,1545.81,175,6,4,0,29,1,0
2007/02/15,648.42,648.42,15,1,1,29,2,0
2007/02/15,529.34,264.67,9,5,4,26,1,0
2007/03/08,1598.85,1598.85,6,1,6,39,2,0
2007/03/14,648.42,100,4.46,4,3,36,2,0
2007/03/26,1059.77,325,11,1,6,24,2,0
2007/03/31,847.6,425,6,5,4,40,1,0
2007/04/10,549,50,26,1,1,37,2,0
2007/04/22,909,100,8.5,1,3,56,1,0
2007/04/28,599,26,8,1,7,33,1,0
2007/06/22,599,26,8,5,0,40,1,0
2007/07/31,449,19,5.5,4,4,32,2,0
2007/08/12,1029,50,5.5,5,8,20,1,0
2007/09/02,759,100,3,5,0,42,2,0
2007/09/08,1756,1756,6,1,6,64,1,0
2007/09/16,1758,70,8,4,0,31,1,0
2007/09/22,909,100,8,5,1,48,1,0
2007/10/01,599,5,8,3,0,30,1,0
2007/02/14,1179,50,2.75,3,0,4,2,0
2007/03/11,1129,150,2.75,4,6,30,1,0
2007/03/20,1129,150,2.75,3,1,56,2,0
2007/04/19,1079,150,2.75,4,3,26,1,0
2007/04/21,879,250,2.75,4,1,27,2,0
2007/05/01,1079,150,5.5,4,0,69,1,0
2007/05/02,249,249,13.2,1,5,26,1,0
2007/05/29,1179,25,5.5,4,1,22,1,0
2007/07/30,979,50,6,4,6,41,1,0
2007/08/07,929,100,4,1,2,23,1,0
2007/08/13,449,19,4,3,6,27,1,0
2007/08/18,449,19,4,3,3,24,2,0
2007/08/23,979,50,6,4,0,64,2,0
2007/09/25,199,199,8,1,0,3,1,0
2007/09/28,1328,1328,6,1,4,26,2,0
2007/01/08,1037.74,50,5.5,5,3,43,1,0
2007/01/11,634.94,634.94,13,1,1,24,1,0
2007/01/13,1037.74,250,5.5,4,0,30,2,0
2007/01/14,634.94,634.94,13,1,0,34,1,0
2007/01/21,1037.74,150,11,1,5,24,1,0
2007/02/01,1513.68,1513.68,6,1,1,51,1,0
2007/03/15,634.94,60,5.5,5,0,25,1,0
2007/03/16,1565.62,1565.62,6,1,0,20,1,0
2007/03/20,1196.74,150,2.75,1,0,26,2,0
2007/04/03,581.94,50,2.75,5,5,27,1,0
2007/05/08,1143.74,250,5.5,3,0,42,2,0
2007/05/12,898.88,898.88,10.5,1,0,46,2,0
2007/05/12,1143.74,100,6,5,0,38,2,0
2007/06/09,984.74,50,5.5,4,1,22,2,0
2007/06/11,1143.74,1143.74,6,1,3,49,1,0
2007/01/08,1677,300,5.5,4,2,26,1,0
2007/01/24,859,5,5.5,1,0,23,2,0
2007/01/31,149,149,10,1,4,27,2,0
2007/01/05,1795.04,120,5.5,1,0,26,2,0
2007/01/29,1018.16,150,5.5,1,0,32,1,0
2007/01/31,1018.16,150,5.5,1,0,25,2,0
2007/02/17,1744.08,105,2.75,5,0,4,2,0
2007/02/21,154.96,154.96,10,1,5,35,1,0
2007/01/31,859,33,20,1,1,21,1,0
2007/02/15,379,379,10,1,4,25,2,0
2007/03/13,489,489,8,5,0,20,2,0
2007/04/10,549,549,10.5,1,4,57,1,0
2007/05/21,199,199,8,1,0,71,1,0
2007/05/26,879,879,6,1,6,42,1,0
2007/05/27,879,100,5.5,1,1,21,1,0
2007/05/31,1079,250,5.5,5,1,28,2,0
2007/06/06,549,549,15,1,0,39,1,0
2007/06/12,979,250,6,5,0,26,1,0
2007/06/29,1858,200,5.5,1,6,24,1,0
2007/07/25,929,150,6,5,0,21,2,0
2007/07/28,449,19,4,1,6,30,2,0
2007/07/29,449,19,4,4,4,36,2,0
2007/08/10,709,20,4,4,7,23,1,0
2007/08/07,929,250,11,1,6,40,1,0
2007/02/01,979,150,2.75,4,0,27,2,0
2007/02/05,1228,30,8.5,1,0,0,1,0
2007/03/21,599,599,15,1,1,29,2,0
2007/03/27,929,929,6,1,6,32,1,0
2007/04/03,1228,150,2.75,3,0,46,1,0
2007/04/18,1428,50,5.5,1,0,0,1,0
2007/04/18,1677,150,2.75,5,0,43,2,0
2007/06/26,782.99,782.99,6,1,4,38,1,0
2007/07/04,449,50,4,4,0,42,2,0
2007/07/18,858,858,11,1,4,34,2,0
2007/07/27,729,100,9,4,0,25,1,0
2007/01/09,859,150,8.5,4,1,39,2,0
2007/01/17,439,439,9,1,0,0,2,0
2007/01/17,1926,150,10,4,0,47,1,0
2007/02/03,489,255,8,1,0,21,2,0
2007/02/06,489,489,8,1,0,26,2,0
2007/02/08,979,979,8.5,1,0,49,2,0
2007/02/10,599,26,8.5,4,0,28,2,0
2007/02/17,149,149,12.1,1,3,28,2,0
2007/03/08,929,929,9.25,1,1,36,1,0
2007/03/13,978,978,8,1,0,25,1,0
2007/03/24,859,25,7.25,1,0,26,2,0
2007/03/26,733,366.5,8.25,5,1,21,1,0
2007/04/01,979,100,8.25,1,0,28,2,0
2007/01/30,885.35,885.35,6,1,0,0,2,0
2007/02/06,599,5,26,5,0,24,2,0
2007/02/21,979,100,8.5,1,1,49,2,0
2007/03/05,1926,150,10,4,0,0,1,0
2007/03/04,489,244.5,8,4,0,55,2,0
2007/03/06,859,35,7.25,1,0,30,1,0
2007/03/07,489,244.5,8,1,1,31,1,0
2007/03/08,1108,75,24,1,0,29,1,0
2007/03/13,929,929,10.25,1,6,28,2,0
2007/03/25,859,25,7.25,1,0,23,2,0
2007/03/21,1079,150,10,5,1,30,1,0
2007/03/26,1328,100,10,1,0,46,2,0
2007/01/02,545,19,2,3,0,35,2,0
2007/01/08,599,599,12,1,1,21,1,0
2007/01/16,499,499,9,1,0,39,2,0
2007/01/16,779,19,2.5,4,5,22,1,0
2007/01/06,973.43,100,5.5,4,0,52,2,0
2007/01/20,893.36,50,5.5,1,4,26,1,0
2007/01/21,258.96,258.96,11,1,6,24,1,0
2007/01/25,893.36,150,5.5,5,3,24,1,0
2007/01/31,1277.12,250,5.5,5,0,55,1,0
2007/02/05,1485.12,100,2.75,5,0,22,2,0
2007/02/10,1411.28,1411.28,11,1,3,46,2,0
2007/02/28,1411.28,130,2.75,3,1,38,2,0
2007/03/06,1018.16,50,5.5,3,6,28,1,0
2007/03/11,622.96,622.96,15,1,0,34,1,0
2007/03/23,1174.16,600,1.42,5,6,27,1,0
2007/03/29,206.96,206.96,5,1,0,26,1,0
2007/03/29,1239.68,1239.68,6,1,0,3,2,0
2007/04/03,1122.16,250,2.75,4,0,25,2,0
2007/04/04,1640.08,275,2.75,5,0,51,2,0
