id,age,educ,polviews,spanking,gender
327,62,12,6, ,0
2896,62,12,1, ,0
1438,62,12,2, ,0
1817,62,12,4, ,0
212,62,12,6,2,0
2417,77,12,7, ,1
2325,77,12,6,2,1
1153,77,12,6, ,1
2825,77,12,6,3,1
2850,77,12,5, ,1
1141,77,12,4,1,1
2849,77,12,4,3,1
2253,48,18,3, ,0
2515,48,18,6,2,0
937,48,18,6,2,0
27,38,20,3,3,1
2164,38,20,2,3,1
2348,38,20,2,2,1
543,38,20,4,3,1
1467,26,16,4,2,1
2729,26,16,4, ,1
1538,26,16,5, ,1
1041,26,16,4,2,1
46,26,16,4,3,1
2361,26,16,3,2,1
2666,26,16,3,1,1
2529,56,12,6,1,0
2401,56,12,5,1,0
2782,56,12,4,3,0
1496,56,12,4,2,0
1921,56,12,6, ,0
1828,66,18,6,2,1
1224,66,18,4,1,1
1391,41,15,7,1,1
1003,41,15,3,4,1
1984,41,15,4, ,1
1722,70,13,6, ,1
2816,70,13,6,2,1
1082,70,13,4,3,1
1878,45,12, , ,1
862,45,12,4,4,1
1628,45,12,3,2,1
1590,45,12,4,2,1
1096,45,12,2,3,1
2354,45,12,3, ,1
1276,45,12,5,2,1
1850,45,12,4, ,1
1456,45,12,3,4,1
1163,45,12, ,2,1
2213,59,12,4,1,1
2600,59,12,4, ,1
2654,59,12,4, ,1
1213,59,12,4,3,1
1182,59,12,6,1,1
1158,59,12,4, ,1
1427,59,12,3, ,1
1576,59,12,7, ,1
2724,59,12,4,1,1
20,24,12,3,2,1
24,24,12,6,1,1
2453,24,12,4, ,1
1329,24,12,4,2,1
1532,24,12,3,3,1
642,24,12,2, ,1
1598,24,12,4,3,1
772,24,12,5,3,1
931,24,12, ,3,1
2507,24,12,5,3,1
2892,24,12,4,2,1
1149,24,12,3,2,1
2344,23,16,3,4,0
603,23,16,6, ,0
1474,23,16,5,2,0
2362,23,16,2,2,0
1309,49,12,4, ,0
1203,49,12,3, ,0
2648,49,12,4, ,0
171,49,12,4,1,0
2811,49,12,2, ,0
2636,36,15,3,4,1
724,36,15,3, ,1
292,36,15, , ,1
1403,33,13,6,2,0
2452,33,13,4, ,0
136,33,13,5, ,0
817,33,13,4,3,0
2604,33,13,6, ,0
1567,49,14,5,2,0
995,49,14,5,3,0
2295,49,14,6,3,0
1709,49,14,4,2,0
1660,58,16,3,4,0
648,58,16,6, ,0
831,58,16,5, ,0
2433,25,16,5,1,1
1500,25,16,2,1,1
333,25,16,4, ,1
2435,25,16,2,2,1
1425,25,16,5,2,1
34,25,16,2,3,1
2431,25,16,3, ,1
1645,25,16,4,3,1
1211,44,12,4, ,1
843,44,12,6,2,1
1106,44,12,3,3,1
665,44,12,5,2,1
2837,44,12,4,2,1
2265,44,12,2, ,1
1606,44,12,4, ,1
2186,44,12,4, ,1
362,44,12,2, ,1
2496,44,12,4,3,1
2366,44,12,4,4,1
2589,35,12,6,1,1
2443,35,12,6,2,1
2473,35,12,4, ,1
557,35,12,4,1,1
1026,35,12,4, ,1
1857,35,12,3,2,1
2694,35,12,2,1,1
2480,35,12,4,4,1
472,35,12,6,3,1
662,35,12,5, ,1
1679,35,12,4,2,1
2235,35,12,4,2,1
1849,45,16,5, ,1
954,45,16,5, ,1
990,45,16,4,2,1
224,45,16,2,2,1
1354,45,16,4, ,1
1594,45,16,3,3,1
13,45,16,2, ,1
2516,49,12,6,1,1
